,index,Year,home team,home gdp,home population,home oddset,home fifa rank,home host,away team,away gdp,away population,away oddset,away fifa rank,away host,win point,result
0,0,1930,FRA,46984,6528,550,211,0,MEX,18445,12894,15000,211,0,3,1
1,1,1930,USA,63594,33101,10000,211,0,BEL,53035,1159,1200,211,0,3,1
2,2,1930,YUG,10926,10,200000,211,0,BRA,14836,21256,450,211,0,1,1
3,3,1930,ROU,32117,1924,200000,211,0,PER,11879,3298,20000,211,0,2,1
4,4,1930,ARG,20771,4520,900,211,0,FRA,46984,6528,550,211,0,1,1
5,5,1930,CHI,0,10,200000,211,0,MEX,18445,12894,15000,211,0,3,1
6,6,1930,YUG,10926,10,200000,211,0,BOL,8276,1168,200000,211,0,4,1
7,7,1930,USA,63594,33101,10000,211,0,PAR,10926,10,200000,211,0,3,1
8,8,1930,URU,10926,10,200000,211,0,PER,11879,3298,20000,211,0,1,1
9,9,1930,CHI,0,10,200000,211,0,FRA,46984,6528,550,211,0,1,1
10,10,1930,ARG,20771,4520,900,211,0,MEX,18445,12894,15000,211,0,3,1
11,11,1930,BRA,14836,21256,450,211,0,BOL,8276,1168,200000,211,0,4,1
12,12,1930,PAR,10926,10,200000,211,0,BEL,53035,1159,1200,211,0,1,1
13,13,1930,URU,10926,10,200000,211,0,ROU,32117,1924,200000,211,0,4,1
14,14,1930,ARG,20771,4520,900,211,0,CHI,0,10,200000,211,0,2,1
15,15,1930,ARG,20771,4520,900,211,0,USA,63594,33101,10000,211,0,5,1
16,16,1930,URU,10926,10,200000,211,0,YUG,10926,10,200000,211,0,5,1
17,17,1930,URU,10926,10,200000,211,0,ARG,20771,4520,900,211,0,2,1
18,18,1934,AUT,55684,901,200000,211,0,FRA,46984,6528,550,211,0,1,1
19,19,1934,HUN,33078,967,200000,211,0,EGY,12608,10234,200000,211,0,2,1
20,20,1934,SUI,10926,10,200000,211,0,NED,10926,10,200000,211,0,1,1
21,21,1934,SWE,55038,1010,200000,211,0,ARG,20771,4520,900,211,0,1,1
22,22,1934,GER,10926,10,200000,211,0,BEL,53035,1159,1200,211,0,3,1
23,23,1934,ESP,37766,4676,800,211,0,BRA,14836,21256,450,211,0,2,1
24,24,1934,ITA,41829,6047,200000,211,1,USA,63594,33101,10000,211,0,6,1
25,25,1934,TCH,10926,10,200000,211,0,ROU,32117,1924,200000,211,0,1,1
26,26,1934,TCH,10926,10,200000,211,0,SUI,10926,10,200000,211,0,1,1
27,27,1934,GER,10926,10,200000,211,0,SWE,55038,1010,200000,211,0,1,1
28,28,1934,ITA,41829,6047,200000,211,1,ESP,37766,4676,800,211,0,0,0
29,29,1934,AUT,55684,901,200000,211,0,HUN,33078,967,200000,211,0,1,1
30,30,1934,ITA,41829,6047,200000,211,1,ESP,37766,4676,800,211,0,1,1
31,31,1934,ITA,41829,6047,200000,211,1,AUT,55684,901,200000,211,0,1,1
32,32,1934,TCH,10926,10,200000,211,0,GER,10926,10,200000,211,0,2,1
33,33,1934,GER,10926,10,200000,211,0,AUT,55684,901,200000,211,0,1,1
34,34,1934,ITA,41829,6047,200000,211,1,TCH,10926,10,200000,211,0,1,1
35,35,1938,SUI,10926,10,200000,211,0,GER,10926,10,200000,211,0,0,0
36,36,1938,HUN,33078,967,200000,211,0,INH,10926,10,200000,211,0,6,1
37,37,1938,FRA,46984,6528,550,211,1,BEL,53035,1159,1200,211,0,2,1
38,38,1938,CUB,0,1133,200000,211,0,ROU,32117,1924,200000,211,0,0,0
39,39,1938,ITA,41829,6047,200000,211,0,NOR,62645,543,200000,211,0,1,1
40,40,1938,BRA,14836,21256,450,211,0,POL,34241,3785,12500,211,0,1,1
41,41,1938,TCH,10926,10,200000,211,0,NED,10926,10,200000,211,0,3,1
42,42,1938,CUB,0,1133,200000,211,0,ROU,32117,1924,200000,211,0,1,1
43,43,1938,SUI,10926,10,200000,211,0,GER,10926,10,200000,211,0,2,1
44,44,1938,BRA,14836,21256,450,211,0,TCH,10926,10,200000,211,0,0,0
45,45,1938,HUN,33078,967,200000,211,0,SUI,10926,10,200000,211,0,2,1
46,46,1938,SWE,55038,1010,200000,211,0,CUB,0,1133,200000,211,0,8,1
47,47,1938,ITA,41829,6047,200000,211,0,FRA,46984,6528,550,211,1,2,1
48,48,1938,BRA,14836,21256,450,211,0,TCH,10926,10,200000,211,0,1,1
49,49,1938,HUN,33078,967,200000,211,0,SWE,55038,1010,200000,211,0,4,1
50,50,1938,ITA,41829,6047,200000,211,0,BRA,14836,21256,450,211,0,1,1
51,51,1938,BRA,14836,21256,450,211,0,SWE,55038,1010,200000,211,0,2,1
52,52,1938,ITA,41829,6047,200000,211,0,HUN,33078,967,200000,211,0,2,1
53,53,1950,BRA,14836,21256,450,211,1,MEX,18445,12894,15000,211,0,4,1
54,54,1950,ENG,10926,10,200000,211,0,CHI,0,10,200000,211,0,2,1
55,55,1950,ESP,37766,4676,800,211,0,USA,63594,33101,10000,211,0,2,1
56,56,1950,SWE,55038,1010,200000,211,0,ITA,41829,6047,200000,211,0,1,1
57,57,1950,YUG,10926,10,200000,211,0,SUI,10926,10,200000,211,0,3,1
58,58,1950,BRA,14836,21256,450,211,1,SUI,10926,10,200000,211,0,0,0
59,59,1950,YUG,10926,10,200000,211,0,MEX,18445,12894,15000,211,0,3,1
60,60,1950,ESP,37766,4676,800,211,0,CHI,0,10,200000,211,0,2,1
61,61,1950,SWE,55038,1010,200000,211,0,PAR,10926,10,200000,211,0,0,0
62,62,1950,USA,63594,33101,10000,211,0,ENG,10926,10,200000,211,0,1,1
63,63,1950,BRA,14836,21256,450,211,1,YUG,10926,10,200000,211,0,2,1
64,64,1950,ESP,37766,4676,800,211,0,ENG,10926,10,200000,211,0,1,1
65,65,1950,ITA,41829,6047,200000,211,0,PAR,10926,10,200000,211,0,2,1
66,66,1950,URU,10926,10,200000,211,0,BOL,8276,1168,200000,211,0,8,1
67,67,1950,SUI,10926,10,200000,211,0,MEX,18445,12894,15000,211,0,1,1
68,68,1950,CHI,0,10,200000,211,0,USA,63594,33101,10000,211,0,3,1
69,69,1950,URU,10926,10,200000,211,0,ESP,37766,4676,800,211,0,0,0
70,70,1950,BRA,14836,21256,450,211,1,SWE,55038,1010,200000,211,0,6,1
71,71,1950,BRA,14836,21256,450,211,1,ESP,37766,4676,800,211,0,5,1
72,72,1950,URU,10926,10,200000,211,0,SWE,55038,1010,200000,211,0,1,1
73,73,1950,SWE,55038,1010,200000,211,0,ESP,37766,4676,800,211,0,2,1
74,74,1950,URU,10926,10,200000,211,0,BRA,14836,21256,450,211,1,1,1
75,75,1954,URU,10926,10,200000,211,0,TCH,10926,10,200000,211,0,2,1
76,76,1954,AUT,55684,901,200000,211,0,SCO,10926,10,200000,211,0,1,1
77,77,1954,BRA,14836,21256,450,211,0,MEX,18445,12894,15000,211,0,5,1
78,78,1954,YUG,10926,10,200000,211,0,FRA,46984,6528,550,211,0,1,1
79,79,1954,FRG,10926,10,200000,211,0,TUR,27236,8434,200000,211,0,3,1
80,80,1954,HUN,33078,967,200000,211,0,KOR,45275,5127,25000,211,0,9,1
81,81,1954,ENG,10926,10,200000,211,0,BEL,53035,1159,1200,211,0,0,0
82,82,1954,SUI,10926,10,200000,211,0,ITA,41829,6047,200000,211,0,1,1
83,83,1954,URU,10926,10,200000,211,0,SCO,10926,10,200000,211,0,7,1
84,84,1954,AUT,55684,901,200000,211,0,TCH,10926,10,200000,211,0,5,1
85,85,1954,FRA,46984,6528,550,211,0,MEX,18445,12894,15000,211,0,1,1
86,86,1954,BRA,14836,21256,450,211,0,YUG,10926,10,200000,211,0,0,0
87,87,1954,HUN,33078,967,200000,211,0,FRG,10926,10,200000,211,0,5,1
88,88,1954,TUR,27236,8434,200000,211,0,KOR,45275,5127,25000,211,0,7,1
89,89,1954,ENG,10926,10,200000,211,0,SUI,10926,10,200000,211,0,2,1
90,90,1954,ITA,41829,6047,200000,211,0,BEL,53035,1159,1200,211,0,3,1
91,91,1954,FRG,10926,10,200000,211,0,TUR,27236,8434,200000,211,0,5,1
92,92,1954,SUI,10926,10,200000,211,0,ITA,41829,6047,200000,211,0,3,1
93,93,1954,URU,10926,10,200000,211,0,ENG,10926,10,200000,211,0,2,1
94,94,1954,AUT,55684,901,200000,211,0,SUI,10926,10,200000,211,0,2,1
95,95,1954,FRG,10926,10,200000,211,0,YUG,10926,10,200000,211,0,2,1
96,96,1954,HUN,33078,967,200000,211,0,BRA,14836,21256,450,211,0,2,1
97,97,1954,FRG,10926,10,200000,211,0,AUT,55684,901,200000,211,0,5,1
98,98,1954,HUN,33078,967,200000,211,0,URU,10926,10,200000,211,0,2,1
99,99,1954,AUT,55684,901,200000,211,0,URU,10926,10,200000,211,0,2,1
100,100,1954,FRG,10926,10,200000,211,0,HUN,33078,967,200000,211,0,1,1
101,101,1958,SWE,55038,1010,200000,211,1,MEX,18445,12894,15000,211,0,3,1
102,102,1958,URS,10926,10,200000,211,0,ENG,10926,10,200000,211,0,0,0
103,103,1958,ARG,20771,4520,900,211,0,FRG,10926,10,200000,211,0,-2,-1
104,104,1958,HUN,33078,967,200000,211,0,WAL,10926,10,200000,211,0,0,0
105,105,1958,FRA,46984,6528,550,211,0,PAR,10926,10,200000,211,0,4,1
106,106,1958,YUG,10926,10,200000,211,0,SCO,10926,10,200000,211,0,0,0
107,107,1958,BRA,14836,21256,450,211,0,AUT,55684,901,200000,211,0,3,1
108,108,1958,NIR,10926,10,200000,211,0,TCH,10926,10,200000,211,0,1,1
109,109,1958,BRA,14836,21256,450,211,0,ENG,10926,10,200000,211,0,0,0
110,110,1958,MEX,18445,12894,15000,211,0,WAL,10926,10,200000,211,0,0,0
111,111,1958,PAR,10926,10,200000,211,0,SCO,10926,10,200000,211,0,1,1
112,112,1958,YUG,10926,10,200000,211,0,FRA,46984,6528,550,211,0,1,1
113,113,1958,URS,10926,10,200000,211,0,AUT,55684,901,200000,211,0,2,1
114,114,1958,FRG,10926,10,200000,211,0,TCH,10926,10,200000,211,0,0,0
115,115,1958,ARG,20771,4520,900,211,0,NIR,10926,10,200000,211,0,2,1
116,116,1958,SWE,55038,1010,200000,211,1,HUN,33078,967,200000,211,0,1,1
117,117,1958,SWE,55038,1010,200000,211,1,WAL,10926,10,200000,211,0,0,0
118,118,1958,BRA,14836,21256,450,211,0,URS,10926,10,200000,211,0,2,1
119,119,1958,FRG,10926,10,200000,211,0,NIR,10926,10,200000,211,0,0,0
120,120,1958,HUN,33078,967,200000,211,0,MEX,18445,12894,15000,211,0,4,1
121,121,1958,PAR,10926,10,200000,211,0,YUG,10926,10,200000,211,0,0,0
122,122,1958,FRA,46984,6528,550,211,0,SCO,10926,10,200000,211,0,1,1
123,123,1958,ENG,10926,10,200000,211,0,AUT,55684,901,200000,211,0,0,0
124,124,1958,TCH,10926,10,200000,211,0,ARG,20771,4520,900,211,0,5,1
125,125,1958,URS,10926,10,200000,211,0,ENG,10926,10,200000,211,0,1,1
126,126,1958,NIR,10926,10,200000,211,0,TCH,10926,10,200000,211,0,1,1
127,127,1958,WAL,10926,10,200000,211,0,HUN,33078,967,200000,211,0,1,1
128,128,1958,BRA,14836,21256,450,211,0,WAL,10926,10,200000,211,0,1,1
129,129,1958,FRG,10926,10,200000,211,0,YUG,10926,10,200000,211,0,1,1
130,130,1958,SWE,55038,1010,200000,211,1,URS,10926,10,200000,211,0,2,1
131,131,1958,FRA,46984,6528,550,211,0,NIR,10926,10,200000,211,0,4,1
132,132,1958,SWE,55038,1010,200000,211,1,FRG,10926,10,200000,211,0,2,1
133,133,1958,BRA,14836,21256,450,211,0,FRA,46984,6528,550,211,0,3,1
134,134,1958,FRA,46984,6528,550,211,0,FRG,10926,10,200000,211,0,3,1
135,135,1958,BRA,14836,21256,450,211,0,SWE,55038,1010,200000,211,1,3,1
136,136,1962,URU,10926,10,200000,211,0,COL,14932,5089,200000,211,0,1,1
137,137,1962,BRA,14836,21256,450,211,0,MEX,18445,12894,15000,211,0,2,1
138,138,1962,ARG,20771,4520,900,211,0,BUL,10926,10,200000,211,0,1,1
139,139,1962,CHI,0,10,200000,211,0,SUI,10926,10,200000,211,0,2,1
140,140,1962,URS,10926,10,200000,211,0,YUG,10926,10,200000,211,0,2,1
141,141,1962,TCH,10926,10,200000,211,0,ESP,37766,4676,800,211,0,1,1
142,142,1962,HUN,33078,967,200000,211,0,ENG,10926,10,200000,211,0,1,1
143,143,1962,FRG,10926,10,200000,211,0,ITA,41829,6047,200000,211,0,0,0
144,144,1962,YUG,10926,10,200000,211,0,URU,10926,10,200000,211,0,2,1
145,145,1962,BRA,14836,21256,450,211,0,TCH,10926,10,200000,211,0,0,0
146,146,1962,ENG,10926,10,200000,211,0,ARG,20771,4520,900,211,0,2,1
147,147,1962,CHI,0,10,200000,211,0,ITA,41829,6047,200000,211,0,2,1
148,148,1962,URS,10926,10,200000,211,0,COL,14932,5089,200000,211,0,0,0
149,149,1962,ESP,37766,4676,800,211,0,MEX,18445,12894,15000,211,0,1,1
150,150,1962,HUN,33078,967,200000,211,0,BUL,10926,10,200000,211,0,5,1
151,151,1962,FRG,10926,10,200000,211,0,SUI,10926,10,200000,211,0,1,1
152,152,1962,URS,10926,10,200000,211,0,URU,10926,10,200000,211,0,1,1
153,153,1962,BRA,14836,21256,450,211,0,ESP,37766,4676,800,211,0,1,1
154,154,1962,HUN,33078,967,200000,211,0,ARG,20771,4520,900,211,0,0,0
155,155,1962,FRG,10926,10,200000,211,0,CHI,0,10,200000,211,0,2,1
156,156,1962,YUG,10926,10,200000,211,0,COL,14932,5089,200000,211,0,5,1
157,157,1962,MEX,18445,12894,15000,211,0,TCH,10926,10,200000,211,0,2,1
158,158,1962,ENG,10926,10,200000,211,0,BUL,10926,10,200000,211,0,0,0
159,159,1962,ITA,41829,6047,200000,211,0,SUI,10926,10,200000,211,0,3,1
160,160,1962,CHI,0,10,200000,211,0,URS,10926,10,200000,211,0,1,1
161,161,1962,BRA,14836,21256,450,211,0,ENG,10926,10,200000,211,0,2,1
162,162,1962,TCH,10926,10,200000,211,0,HUN,33078,967,200000,211,0,1,1
163,163,1962,YUG,10926,10,200000,211,0,FRG,10926,10,200000,211,0,1,1
164,164,1962,TCH,10926,10,200000,211,0,YUG,10926,10,200000,211,0,2,1
165,165,1962,BRA,14836,21256,450,211,0,CHI,0,10,200000,211,0,2,1
166,166,1962,CHI,0,10,200000,211,0,YUG,10926,10,200000,211,0,1,1
167,167,1962,BRA,14836,21256,450,211,0,TCH,10926,10,200000,211,0,2,1
168,168,1966,ENG,10926,10,200000,211,0,URU,10926,10,200000,211,0,0,0
169,169,1966,FRG,10926,10,200000,211,0,SUI,10926,10,200000,211,0,5,1
170,170,1966,BRA,14836,21256,450,211,0,BUL,10926,10,200000,211,0,2,1
171,171,1966,URS,10926,10,200000,211,0,PRK,0,2578,200000,211,0,3,1
172,172,1966,FRA,46984,6528,550,211,0,MEX,18445,12894,15000,211,0,0,0
173,173,1966,POR,10926,10,200000,211,0,HUN,33078,967,200000,211,0,2,1
174,174,1966,ARG,20771,4520,900,211,0,ESP,37766,4676,800,211,0,1,1
175,175,1966,ITA,41829,6047,200000,211,0,CHI,0,10,200000,211,0,2,1
176,176,1966,URU,10926,10,200000,211,0,FRA,46984,6528,550,211,0,1,1
177,177,1966,ESP,37766,4676,800,211,0,SUI,10926,10,200000,211,0,1,1
178,178,1966,HUN,33078,967,200000,211,0,BRA,14836,21256,450,211,0,2,1
179,179,1966,PRK,0,2578,200000,211,0,CHI,0,10,200000,211,0,0,0
180,180,1966,POR,10926,10,200000,211,0,BUL,10926,10,200000,211,0,3,1
181,181,1966,FRG,10926,10,200000,211,0,ARG,20771,4520,900,211,0,0,0
182,182,1966,URS,10926,10,200000,211,0,ITA,41829,6047,200000,211,0,1,1
183,183,1966,ENG,10926,10,200000,211,0,MEX,18445,12894,15000,211,0,2,1
184,184,1966,URU,10926,10,200000,211,0,MEX,18445,12894,15000,211,0,0,0
185,185,1966,ARG,20771,4520,900,211,0,SUI,10926,10,200000,211,0,2,1
186,186,1966,POR,10926,10,200000,211,0,BRA,14836,21256,450,211,0,2,1
187,187,1966,PRK,0,2578,200000,211,0,ITA,41829,6047,200000,211,0,1,1
188,188,1966,ENG,10926,10,200000,211,0,FRA,46984,6528,550,211,0,2,1
189,189,1966,HUN,33078,967,200000,211,0,BUL,10926,10,200000,211,0,2,1
190,190,1966,FRG,10926,10,200000,211,0,ESP,37766,4676,800,211,0,1,1
191,191,1966,URS,10926,10,200000,211,0,CHI,0,10,200000,211,0,1,1
192,192,1966,ENG,10926,10,200000,211,0,ARG,20771,4520,900,211,0,1,1
193,193,1966,FRG,10926,10,200000,211,0,URU,10926,10,200000,211,0,4,1
194,194,1966,URS,10926,10,200000,211,0,HUN,33078,967,200000,211,0,1,1
195,195,1966,POR,10926,10,200000,211,0,PRK,0,2578,200000,211,0,2,1
196,196,1966,FRG,10926,10,200000,211,0,URS,10926,10,200000,211,0,1,1
197,197,1966,ENG,10926,10,200000,211,0,POR,10926,10,200000,211,0,1,1
198,198,1966,POR,10926,10,200000,211,0,URS,10926,10,200000,211,0,1,1
199,199,1966,ENG,10926,10,200000,211,0,FRG,10926,10,200000,211,0,2,1
200,200,1970,MEX,18445,12894,15000,211,1,URS,10926,10,200000,211,0,0,0
201,201,1970,URU,10926,10,200000,211,0,ISR,39482,866,200000,211,0,2,1
202,202,1970,PER,11879,3298,20000,211,0,BUL,10926,10,200000,211,0,1,1
203,203,1970,ENG,10926,10,200000,211,0,ROU,32117,1924,200000,211,0,1,1
204,204,1970,ITA,41829,6047,200000,211,0,SWE,55038,1010,200000,211,0,1,1
205,205,1970,FRG,10926,10,200000,211,0,MAR,7370,3692,25000,211,0,1,1
206,206,1970,BRA,14836,21256,450,211,0,TCH,10926,10,200000,211,0,3,1
207,207,1970,BEL,53035,1159,1200,211,0,SLV,8421,649,200000,211,0,3,1
208,208,1970,URU,10926,10,200000,211,0,ITA,41829,6047,200000,211,0,0,0
209,209,1970,PER,11879,3298,20000,211,0,MAR,7370,3692,25000,211,0,3,1
210,210,1970,ROU,32117,1924,200000,211,0,TCH,10926,10,200000,211,0,1,1
211,211,1970,URS,10926,10,200000,211,0,BEL,53035,1159,1200,211,0,3,1
212,212,1970,SWE,55038,1010,200000,211,0,ISR,39482,866,200000,211,0,0,0
213,213,1970,FRG,10926,10,200000,211,0,BUL,10926,10,200000,211,0,3,1
214,214,1970,BRA,14836,21256,450,211,0,ENG,10926,10,200000,211,0,1,1
215,215,1970,MEX,18445,12894,15000,211,1,SLV,8421,649,200000,211,0,4,1
216,216,1970,SWE,55038,1010,200000,211,0,URU,10926,10,200000,211,0,1,1
217,217,1970,FRG,10926,10,200000,211,0,PER,11879,3298,20000,211,0,2,1
218,218,1970,BRA,14836,21256,450,211,0,ROU,32117,1924,200000,211,0,1,1
219,219,1970,URS,10926,10,200000,211,0,SLV,8421,649,200000,211,0,2,1
220,220,1970,ITA,41829,6047,200000,211,0,ISR,39482,866,200000,211,0,0,0
221,221,1970,BUL,10926,10,200000,211,0,MAR,7370,3692,25000,211,0,0,0
222,222,1970,ENG,10926,10,200000,211,0,TCH,10926,10,200000,211,0,1,1
223,223,1970,MEX,18445,12894,15000,211,1,BEL,53035,1159,1200,211,0,1,1
224,224,1970,ITA,41829,6047,200000,211,0,MEX,18445,12894,15000,211,1,3,1
225,225,1970,FRG,10926,10,200000,211,0,ENG,10926,10,200000,211,0,1,1
226,226,1970,BRA,14836,21256,450,211,0,PER,11879,3298,20000,211,0,2,1
227,227,1970,URU,10926,10,200000,211,0,URS,10926,10,200000,211,0,1,1
228,228,1970,BRA,14836,21256,450,211,0,URU,10926,10,200000,211,0,2,1
229,229,1970,ITA,41829,6047,200000,211,0,FRG,10926,10,200000,211,0,1,1
230,230,1970,FRG,10926,10,200000,211,0,URU,10926,10,200000,211,0,1,1
231,231,1970,BRA,14836,21256,450,211,0,ITA,41829,6047,200000,211,0,3,1
232,232,1974,BRA,14836,21256,450,211,0,YUG,10926,10,200000,211,0,0,0
233,233,1974,FRG,10926,10,200000,211,0,CHI,0,10,200000,211,0,1,1
234,234,1974,GDR,10926,10,200000,211,0,AUS,53330,2550,50000,211,0,2,1
235,235,1974,ZAI,10926,10,200000,211,0,SCO,10926,10,200000,211,0,-2,-1
236,236,1974,URU,10926,10,200000,211,0,NED,10926,10,200000,211,0,-2,-1
237,237,1974,SWE,55038,1010,200000,211,0,BUL,10926,10,200000,211,0,0,0
238,238,1974,ITA,41829,6047,200000,211,0,HAI,10926,10,200000,211,0,2,1
239,239,1974,POL,34241,3785,12500,211,0,ARG,20771,4520,900,211,0,1,1
240,240,1974,AUS,53330,2550,50000,211,0,FRG,10926,10,200000,211,0,-3,-1
241,241,1974,SCO,10926,10,200000,211,0,BRA,14836,21256,450,211,0,0,0
242,242,1974,CHI,0,10,200000,211,0,GDR,10926,10,200000,211,0,0,0
243,243,1974,YUG,10926,10,200000,211,0,ZAI,10926,10,200000,211,0,9,1
244,244,1974,NED,10926,10,200000,211,0,SWE,55038,1010,200000,211,0,0,0
245,245,1974,BUL,10926,10,200000,211,0,URU,10926,10,200000,211,0,0,0
246,246,1974,HAI,10926,10,200000,211,0,POL,34241,3785,12500,211,0,-7,-1
247,247,1974,ARG,20771,4520,900,211,0,ITA,41829,6047,200000,211,0,0,0
248,248,1974,SCO,10926,10,200000,211,0,YUG,10926,10,200000,211,0,0,0
249,249,1974,AUS,53330,2550,50000,211,0,CHI,0,10,200000,211,0,0,0
250,250,1974,ZAI,10926,10,200000,211,0,BRA,14836,21256,450,211,0,-3,-1
251,251,1974,GDR,10926,10,200000,211,0,FRG,10926,10,200000,211,0,1,1
252,252,1974,BUL,10926,10,200000,211,0,NED,10926,10,200000,211,0,-3,-1
253,253,1974,ARG,20771,4520,900,211,0,HAI,10926,10,200000,211,0,3,1
254,254,1974,SWE,55038,1010,200000,211,0,URU,10926,10,200000,211,0,3,1
255,255,1974,POL,34241,3785,12500,211,0,ITA,41829,6047,200000,211,0,1,1
256,256,1974,YUG,10926,10,200000,211,0,FRG,10926,10,200000,211,0,-2,-1
257,257,1974,BRA,14836,21256,450,211,0,GDR,10926,10,200000,211,0,1,1
258,258,1974,NED,10926,10,200000,211,0,ARG,20771,4520,900,211,0,4,1
259,259,1974,SWE,55038,1010,200000,211,0,POL,34241,3785,12500,211,0,-1,-1
260,260,1974,ARG,20771,4520,900,211,0,BRA,14836,21256,450,211,0,-1,-1
261,261,1974,POL,34241,3785,12500,211,0,YUG,10926,10,200000,211,0,1,1
262,262,1974,GDR,10926,10,200000,211,0,NED,10926,10,200000,211,0,-2,-1
263,263,1974,FRG,10926,10,200000,211,0,SWE,55038,1010,200000,211,0,2,1
264,264,1974,POL,34241,3785,12500,211,0,FRG,10926,10,200000,211,0,-1,-1
265,265,1974,NED,10926,10,200000,211,0,BRA,14836,21256,450,211,0,2,1
266,266,1974,ARG,20771,4520,900,211,0,GDR,10926,10,200000,211,0,0,0
267,267,1974,SWE,55038,1010,200000,211,0,YUG,10926,10,200000,211,0,1,1
268,268,1974,BRA,14836,21256,450,211,0,POL,34241,3785,12500,211,0,-1,-1
269,269,1974,NED,10926,10,200000,211,0,FRG,10926,10,200000,211,0,-1,-1
270,270,1978,FRG,10926,10,200000,211,0,POL,34241,3785,12500,211,0,0,0
271,271,1978,ITA,41829,6047,200000,211,0,FRA,46984,6528,550,211,0,1,1
272,272,1978,TUN,10823,1182,35000,211,0,MEX,18445,12894,15000,211,0,2,1
273,273,1978,ARG,20771,4520,900,211,1,HUN,33078,967,200000,211,0,1,1
274,274,1978,SWE,55038,1010,200000,211,0,BRA,14836,21256,450,211,0,0,0
275,275,1978,AUT,55684,901,200000,211,0,ESP,37766,4676,800,211,0,1,1
276,276,1978,PER,11879,3298,20000,211,0,SCO,10926,10,200000,211,0,2,1
277,277,1978,NED,10926,10,200000,211,0,IRN,13339,8400,50000,211,0,3,1
278,278,1978,ITA,41829,6047,200000,211,0,HUN,33078,967,200000,211,0,2,1
279,279,1978,POL,34241,3785,12500,211,0,TUN,10823,1182,35000,211,0,1,1
280,280,1978,FRG,10926,10,200000,211,0,MEX,18445,12894,15000,211,0,6,1
